,name,city,address,postcode,lat,lng,bubble_rating,star_rating,review_count,air_conditioning,free_internet,free_high_speed_internet_(_wifi_),public_wifi,wheelchair_access,restaurant,family_rooms,accessible_rooms,pets_allowed_(_dog_/_pet_friendly_),paid_wifi,refrigerator_in_room,kitchenette,microwave,paid_internet,chaine,rating_std,rating_std2
1496,hotel de la felicite,Paris,43 rue de la Felicite,75017,48.887623,2.311126,3.0,3,145.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1.0598971127789971,1.0765974050374996
1497,hotel flora,Paris,angle blvd. Magenta,75010,48.876106,2.355741,3.5,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15350234047144098,0.5389633105541836
1498,hotel residence la concorde,Paris,5 rue Cambon,75001,48.86651,2.325356,3.0,3,136.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9941103954340939,1.0339054339818914
1499,hotel du marche saint martin,Paris,6 Passage du Marche,75010,48.87104,2.3573880000000003,3.5,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04263953901984471,0.4772971301405274
1502,hotel des beaux arts,Paris,2 rue Toussaint Feron,75013,48.827133,2.359008,3.0,0,33.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.24121796359797867,0.545319543012154
1505,3 crowns etoile hotel,Paris,30 rue de l Arc de Triomphe,75017,,,3.0,3,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.04385781156326885,0.41724362984532976
1508,goldhotel,Paris,67 boulevard de Clichy,75009,48.88384,2.331614,3.0,3,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9063947723075562,0.9769828059077472
1509,hotel du cantal,Paris,7 rue des Vertus,75003,48.86413,2.35773,3.5,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06822326243175154,0.4915277871590634
1510,hotel residence villiers,Paris,68 avenue de Villiers,75017,48.88381,2.305457,3.0,2,57.0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0.4166492098510541,0.6591647991604423
1511,hotel camelia,Paris,24 boulevard Pasteur,75015,48.842518,2.31253,3.5,2,58.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.49461865263019866,0.728705404134664
1512,residence orion paris haussmann,Paris,2 rue des Mathurins,75009,48.872913,2.3305740000000004,3.5,2,75.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.6395930852976707,0.8093457939063682
1515,hotel de la gaite,Paris,7 rue Vandamme,75014,48.839462,2.323042,3.0,3,62.0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0.4531973861537781,0.6828825608580025
1516,novotel paris orgeval,Paris,R N 13,,,,3.5,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09380698584365837,0.5057584441775994
